99TOPAS,No air cond,200,Manual trans,175,,,,
99TOPIC,,,,,,,,
99TOPRE,No ABS brakes,75,,,,
99TORAV,,,,,,
99TOSIE,Psngr slider only (LE),175,,,,
99TOSOL,Manual trans,175,No CD player,50,2.2L-I4/135hp,175
99TOT10,,,,,,
99TOTER,No air cond,175,Manual steering,100,Manual trans,175
99VOBEE,Manual trans,175,,,,
99VOCAB,No air cond,175,Manual trans,175,,
99VOCOR,,,,,,
99VOEUR,,,,,,
99VOGOL,No air cond,175,Man trans (GL),175,,
99VOGTI,,,,,,
99VOJET,No air cond,175,Man trans (not TDI),175,,
99VOPAS,Manual transmission,175,,,,
99VV70A,,,,,,
99VV70S,Manual transmission,225,,,,
99VV90S,,,,,,
A0ACINT,Manual (not R),200,,,,
A0ACINT,Manual (not R),200,,,,
A0ACNSX,,,,,,
A0ACNSX,,,,,,
A0ACRLx,,,,,,
A0ACRLx,,,,,,
A0ACTLx,,,,,,
A0ACTLx,,,,,,
A0AUA4x,Manual trans,225,No leather,175,,
A0AUA4x,Manual trans,225,No leather,175,,
A0AUA6x,No Leather,175,,,,
A0AUA6x,No Leather,175,,,,
A0AUCAB,Manual Roof,425,No leather,325,,
A0AUCAB,Manual Roof,425,No leather,325,,
A0BM3-S,Wheel covers,75,No leather,75,No CD,50
A0BM3-S,Wheel covers,75,No leather,75,No CD,50
A0BM5-S,Manual trans,375,No leather (528),275,No CD,50
A0BM5-S,Manual trans,375,No leather (528),275,No CD,50
A0BM7-S,,,,,,
A0BM7-S,,,,,,
A0BMM3x,,,,,,
A0BMM3x,,,,,,
A0BMZ3x,No CD player,50,,,,
A0BMZ3x,No CD player,50,,,,
A0BUCEN,No cruise,50,,,,
A0BUCEN,No cruise,50,,,,
A0BULES,,,,,,
A0BULES,,,,,,
A0BUPAR,,,,,,
A0BUPAR,,,,,,
A0BUREG,Manual seat,50,,,,
A0BUREG,Manual seat,50,,
A0BUROA,,,,
A0BUROA,,,,
A0BUSKY,,,,
A0BUSKY,,,,
A0CACAT,No leather,175,,
A0CACAT,No leather,175,,
A0CADEV,Cloth seats,175,No CD player,50
A0CADEV,Cloth seats,175,No CD player,50
A0CAELD,Cloth seats,175,No CD player,50
